Português (Brasil);English;Español
pt-BR;en-US;es-ES
Rock;Rock (EN);Rock (ES)
Ocean;Ocean (EN);Ocean (ES)
Ground;Ground (EN);Ground (ES)
Sapphire;Sapphire (EN);Sapphire (ES)
Lead;Lead (EN);Lead (ES)
Acqua;Acqua (EN);Acqua (ES)
Janeiro;January;Enero
Fevereiro;February;Febrero
Março;March;Marzo
Abril;April;Abril
Maio;May;Mayo
Junho;June;Junio
Julho;July;Julio
Agosto;August;Agosto
Setembro;September;Septiembre
Outubro;October;Octubre
Novembro;November;Noviembre
Dezembro;December;Diciembre
Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro;January,February,March,April,May,June,July,August,September,October,November,December;Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Domingo;Sunday;Domingo
Segunda;Monday;Lunes
Terça;Tuesday;Martes
Quarta;Wednesday;Miércoles
Quinta;Thursday;Jueves
Sexta;Friday;Viernes
Sábado;Saturday;Sábado
Domingo,Segunda,Terça,Quarta,Quinta,Sexta,Sábado;Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday;Domingo,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado
Agora;Now;Ahora
Hoje;Today;Hoy
Este mês;This month;Este mes
Este bimestre;This bimester;Este bimestre
Este trimestre;This trimester;Este trimestre
Este semestre;This semester;Este semestre
Este ano;This year;Este año
Agora|Hoje|Este mês|Este bimestre|Este trimestre|Este semestre|Este ano;Now|Today|This month|This bimester|This trimester|This semester|This year;Ahora|Hoy|Este mes|Este bimestre|Este trimestre|Este semestre|Este año
Formato 24h;24h Format;Formato 24h
Bem-vindo à aplicação de demonstração do HighPerformance;Welcome to the High Performance Demo application;Bienvenido a la aplicación de demostración de High Performance
Bem-vindo a aplicação de demonstração do Elipse E3;Welcome to the Elipse E3 Demo application;Bienvenido a la aplicación Demo de Elipse E3
Bem-vindo(a) ao conjunto de bibliotecas HighPerformance da Elipse Software;Welcome to Elipse Software's HighPerformance library suite;Bienvenido a la suite de bibliotecas HighPerformance de Elipse Software
As bibliotecas HighPerformance da Elipse são um template de aplicação moderno e de alto desempenho que aceleram o desenvolvimento de aplicações SCADA, oferecendo:;Elipse's HighPerformance libraries are a modern and high performance application template that accelerate the development of SCADA applications, offering:;Las bibliotecas HighPerformance de Elipse son una plantilla de aplicación moderna y de alto rendimiento que acelera el desarrollo de aplicaciones SCADA, ofreciendo:
Recursos de alto desempenho operacional;High operational performance features;Características de alto rendimiento operativo
Recursos com acessibilidade visual;Features with visual accessibility;Funciones visualmente accesibles
Flexibilidade para uso em aplicações novas ou já existentes;Flexibility for use in new or existing applications;Flexibilidad para usar en aplicaciones nuevas o existentes
Recursos para melhoria de usabilidade;Features for improving usability;Características para mejorar la usabilidad
O HighPerformance Template foi desenvolvido para o Elipse E3, uma plataforma HMI/SCADA ideal para:;The HighPerformance Template was developed for Elipse E3, an ideal HMI / SCADA platform for:;La plantilla HighPerformance fue desarrollada para Elipse E3, una plataforma HMI / SCADA ideal para:
Aplicações avançadas e distribuídas;Advanced and distributed applications;Aplicaciones avanzadas y distribuidas.
Sistemas de missão crítica;Mission-critical systems;Sistemas de misión crítica
Centros de controle;Control centers;Centros de control
Líder no mercado brasileiro, o Elipse E3 foi desenvolvido para atender os mais exigentes requisitos de conectividade, flexibilidade e confiabilidade. O Elipse E3 é o sistema SCADA ideal para o seu projeto, não importa o tamanho da sua necessidade.;A leader in the Brazilian market, Elipse E3 was developed to meet the most demanding requirements of connectivity, flexibility and reliability. Elipse E3 is the ideal SCADA system for your project no matter the size of your need.;Líder en el mercado brasileño, Elipse E3 ha sido desarrollado para satisfacer los más exigentes requisitos de conectividad, flexibilidad y confiabilidad. Elipse E3 es el sistema SCADA ideal para su proyecto, no importa el tamaño de su necesidad.
Líder no mercado brasileiro, o Elipse E3 foi desenvolvido para atender os mais exigentes requisitos de conectividade, flexibilidade e confiabilidade, sendo ideal para:;Leader in the Brazilian market, Elipse E3 was developed to meet the most demanding connectivity, flexibility and reliability requirements, being ideal for:;Líder en el mercado brasileño, Elipse E3 fue desarrollado para atender los más exigentes requisitos de conectividad, flexibilidad y confiabilidad, siendo ideal para:
